Nº/Série;Data de Emissão;CNPJ Emitente;Emitente;CNPJ Destinatário;Destinatário;Categoria;Subcategoria;Produto;Unid. Medida;Quantidade;Valor Unitário;Valor Total
21140/000;30/12/2022;05.366.444/0026-17;R.V. IMOLA TRANSPORTES E LOGISTICA LTDA;10.377.679/0001-96;SMS JABOATAO DOS GUARARAPES;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL GEL 70% 5 LITROS;UN;33.00;195.00;6,435.00
21140/000;30/12/2022;05.366.444/0026-17;R.V. IMOLA TRANSPORTES E LOGISTICA LTDA;10.377.679/0001-96;SMS JABOATAO DOS GUARARAPES;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL GEL 70% 5 LITROS;UN;47.00;195.00;9,165.00
21140/000;30/12/2022;05.366.444/0026-17;R.V. IMOLA TRANSPORTES E LOGISTICA LTDA;10.377.679/0001-96;SMS JABOATAO DOS GUARARAPES;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL GEL 70% 5 LITROS;UN;40.00;195.00;7,800.00
21140/000;30/12/2022;05.366.444/0026-17;R.V. IMOLA TRANSPORTES E LOGISTICA LTDA;10.377.679/0001-96;SMS JABOATAO DOS GUARARAPES;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL GEL 70% 5 LITROS;UN;27.00;195.00;5,265.00
21140/000;30/12/2022;05.366.444/0026-17;R.V. IMOLA TRANSPORTES E LOGISTICA LTDA;10.377.679/0001-96;SMS JABOATAO DOS GUARARAPES;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL GEL 70% 5 LITROS;UN;20.00;195.00;3,900.00
21140/000;30/12/2022;05.366.444/0026-17;R.V. IMOLA TRANSPORTES E LOGISTICA LTDA;10.377.679/0001-96;SMS JABOATAO DOS GUARARAPES;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL GEL 70% 5 LITROS;UN;25.00;195.00;4,875.00
21140/000;30/12/2022;05.366.444/0026-17;R.V. IMOLA TRANSPORTES E LOGISTICA LTDA;10.377.679/0001-96;SMS JABOATAO DOS GUARARAPES;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL GEL 70% 5 LITROS;UN;40.00;195.00;7,800.00
21140/000;30/12/2022;05.366.444/0026-17;R.V. IMOLA TRANSPORTES E LOGISTICA LTDA;10.377.679/0001-96;SMS JABOATAO DOS GUARARAPES;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL GEL 70% 5 LITROS;UN;39.00;195.00;7,605.00
2052/001;16/12/2022;34.731.357/0001-61;COSTA & OLIVEIRA HIPERMERCADO VAREJISTA EIRELI;11.504.633/0001-53;FUNDO MUNICIPAL DE SAUDE DE TRACUNHAEM;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL 70, CX C/ 12 UND;CX;8.00;118.98;951.84
2051/001;16/12/2022;34.731.357/0001-61;COSTA & OLIVEIRA HIPERMERCADO VAREJISTA EIRELI;11.504.633/0001-53;FUNDO MUNICIPAL DE SAUDE DE TRACUNHAEM;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL 70, CX C/ 12 UND;CX;8.00;118.98;951.84
