,Serie,Numero,DetalheItens
0,1.0,51985.0,condicionador de ar split eco top ecst12fr4-02 - 12kbtu agratto
0,1.0,52001.0,condicionador de ar split inverter neo ics18f r4-02 18kbtu
0,1.0,52001.0, condicionador de ar split eco top ecst12qfr4-02 - 12kbtu agratto
0,890.0,233014233.0,bovino macho de 13 a 24 meses
0,890.0,233014239.0,bovino macho de 13 a 24 meses
0,890.0,233014248.0,bovino macho de 13 a 24 meses
0,890.0,233017333.0,bovino macho de 13 a 24 meses
0,2.0,62697.0,compressa de gaze 13f 7
0,2.0,62697.0,5x7
0,2.0,62697.0,5cm 160g-ultra te
0,2.0,62698.0,compressa de gaze 13f 7
0,2.0,62698.0,5x7
0,2.0,62698.0,5cm 160g-ultra te
0,1.0,3384.0,atadura de crepom- 13 fios- c/12und mda
0,1.0,3384.0, alcool liq 70 inpm hospitalar 1l-mega quimica
0,1.0,3384.0, monitor glicose simples on call plus
0,1.0,3384.0, nylon 5-0 c/ag  c/24 und - technofio
0,1.0,3384.0, mascara de protecao pff2 - plastcor
0,1.0,3384.0, ultra-gel ultra 1 kg
0,1.0,3384.0, algodao hidrofilo farol 500g
0,1.0,3384.0, estetoscopio adulto duoson preto est400
0,1.0,3384.0, colar cervical de resgate tam.g
0,1.0,3384.0, bobinas 300mm x 100m esterilcare duoetc
0,1.0,3384.0, lanceta p/lancetador 28g c/100 soft - sterila
0,1.0,3384.0, categute simples 3-0 c/ag  c/24 und techn
0,1.0,3384.0, categute simples 4-0 c/ag c/24 und technofio
0,1.0,3384.0, categute simples c/ag c/24 und technofio
0,1.0,3384.0, nylon 2-0 c/ag  c/24 und - technofio
0,1.0,3384.0, nylon 4-0 c/ag  c/24 und - technofio
0,1.0,3384.0, nylon 3-0 c/ag  c/24 und - technofio
0,1.0,3384.0, atadura gessada ortoflex 15cm x 3m - ortofen
0,1.0,3384.0, especulo vaginal desc. tam g - nao esteril
0,1.0,3384.0, almotolia em pe cap 500 ml natural bico reto
0,1.0,3384.0, almotolia em pe cap 500 ml natural bico reto
0,1.0,3385.0,sol. cloreto de sodio 0
0,1.0,3385.0,9% 500ml - sf farmace
0,1.0,3385.0, sol. cloreto de sodio 0
0,1.0,3385.0,9% 250ml
0,1.0,3385.0, agua para injecao 10ml sf - farmace
0,1.0,3386.0,soro ringer c/lactato sf 500ml - halexistar
0,1.0,3386.0, soro glicose 5% sf 500ml - halex istar
0,2.0,62731.0,compressa de gaze 13f 7
0,2.0,62731.0,5x7
0,2.0,62731.0,5cm 160g-ultra te
0,2.0,62732.0,compressa de gaze 13f 7
0,2.0,62732.0,5x7
0,2.0,62732.0,5cm 160g-ultra te
0,1.0,3453.0,alcool ciclo gel 70% (1l) - ciclo farma
0,1.0,3453.0, compressa de gaze 13f 7
0,1.0,3453.0,5x7
0,1.0,3453.0,5 cm c/500 unds
0,1.0,3453.0, algodao hidrofilo farol 500g
0,1.0,3453.0, agua destilada nao esteril 5l
0,1.0,3453.0, iodopolividona sol. aquosa 1l - vic pharma
0,1.0,3453.0, fralda geriatrica maxi confort tam. m c/8
0,1.0,3453.0, fralda geriatrica maxi confort tam. g c/8
0,1.0,3453.0, sonda nasogastrica curta n. 12 - medsonda
0,1.0,3453.0, sonda nasogastrica curta n. 10 - medsonda
0,1.0,3453.0, sonda nasogastrica curta n. 08 - medsonda
0,1.0,115997.0,bactec plus aerobic/f 50/pk plastico
0,1.0,116039.0,bactec peds plus (plastico)
0,1.0,116040.0,bactec plus aerobic/f 50/pk plastico
0,1.0,116043.0,bactec plus aerobic/f 50/pk plastico
0,1.0,116106.0,reagente painel bd phoenix pmic/id 89
0,1.0,116167.0,bactec plus aerobic/f 50/pk plastico
0,1.0,116167.0, bactec peds plus (plastico)
0,1.0,116201.0,bactec plus aerobic/f 50/pk plastico
0,1.0,116201.0, bactec peds plus (plastico)
0,1.0,116201.0,bactec peds plus (plastico)
0,1.0,116201.0, bactec plus aerobic/f 50/pk plastico
0,1.0,213127.0,gliclazida 60mg (+)
0,1.0,213127.0, gliclazida 60mg (+)
0,1.0,213127.0, gliclazida 60mg (+)
0,1.0,213341.0,fio de sutura cat-gut cromado diametro 0 c/ag. circ. cilindrica 4
0,1.0,213341.0,0cm 1/2 (n)
0,1.0,213341.0, fio de sutura cat-gut cromado diametro 1 c/ag. circ. cilindrica 4
0,1.0,213341.0,0cm 1/2 (n)
0,1.0,213341.0, fio de sutura cat-gut cromado diametro 1 c/ag. circ. cilindrica 4
0,1.0,213341.0,0cm 1/2 (n)
0,1.0,213401.0,dorzolamida 2% 5ml (+)
0,1.0,213401.0, dorzolamida 2% 5ml (+)
0,1.0,213405.0,dorzolamida 2% 5ml (+)
0,1.0,213405.0, dorzolamida 2% 5ml (+)
0,1.0,87524.0,meropenem tri-hidratado 1g (g) inj iv cx c/10 (meropenem )  fab.: 11.2022
0,1.0,87524.0, meropenem tri-hidratado 1g (g) inj iv cx c/10 (meropenem )  fab.: 11.2022
0,0.0,300625.0,atrofarma 1ml (sulfato de atropina 0
0,0.0,300625.0,25mg/ml) (l. positiva)
0,0.0,300625.0, atrofarma 1ml (sulfato de atropina 0
0,0.0,300625.0,25mg/ml) (l. positiva)
0,1.0,6277.0,jet a nao tabelado - li
0,1.0,20432.0,trocarte endoscopio (flagship) 11mm - fengh - sm
0,1.0,20432.0, trocarte endoscopio (flagship) 11mm - fengh - sm
0,1.0,20473.0,pinca desc.do tipo pistola(com chave de torque) mod. sg35  - innolcon
0,1.0,10892.0,leite fortini plus sem sabor 400g
0,1.0,10892.0, leite fortini plus sem sabor 400g
0,1.0,10892.0, leite fortini plus sem sabor 400g
0,1.0,10892.0, leite fortini plus sem sabor 400g
0,1.0,10896.0,anestesico lidocaina 2% com vasoconstritor:;embalagem com 50 tubetes de plastico
0,1.0,10896.0, filme radiografico periapical adulto:;embalagem com 150 und.
0,1.0,10896.0, detergente enzimatico 1 litro
